version,source,arch,installer_name,path,filename,internal_name,file_size,file_date,md5,sha1,sha256,dist_hash_status,dist_gpg_status,discrepancy_note,url
7.7.1,github,x86,npp.7.7.1.bin.7z,,npp.7.7.1.bin.7z,,2778287,2021-12-07T19:40:10+00:00,c85af0030f91102e5346865281741f24,b54106b97d34c434cf5388f3a82a156276ca4af8,f0af67993bd5f420ef0d9268f9667d628090491899f6529a7a75f60244700ef1,MATCH,MATCH,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v7.7.1/npp.7.7.1.bin.7z
7.7.1,github,x86,npp.7.7.1.bin.7z,autoCompletion/actionscript.xml,actionscript.xml,,20752,2017-12-28T02:55:00.321495+00:00,f8876462309eeb4204eaaf5777dc4eea,167b0f169340f0cf7d2a53d0f4c4b20f694ff12a,7bdab6f3b572773331a17bfbb6cc4bbd71dfd89e4f11e404b7466925678a3a26,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v7.7.1/npp.7.7.1.bin.7z
7.7.1,github,x86,npp.7.7.1.bin.7z,localization/afrikaans.xml,afrikaans.xml,,29077,2016-12-26T22:10:43.769673+00:00,c2f475cc2b49d3aee490c9059529744a,621e81e87c6c8d45a6be6bc69108d8ab13e2d5a6,5d285d98f8891bcf73a770fde00c3215062842224b81c4e70537569712f84570,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v7.7.1/npp.7.7.1.bin.7z
7.7.1,github,x86,npp.7.7.1.bin.7z,localization/albanian.xml,albanian.xml,,57197,2017-08-20T17:42:25.395692+00:00,5803d49d9a1320f50394a0ab36c427b6,6f29668d5d3101d86a6ec34d3087c7cd5e5fdc64,508ddd0bd359666186a34b1249b55de31062f2eb4323bce01409e602e7fc0b64,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v7.7.1/npp.7.7.1.bin.7z
7.7.1,github,x86,npp.7.7.1.bin.7z,localization/arabic.xml,arabic.xml,,86770,2018-10-05T00:32:05.819137+00:00,4c43fa51c53e259e9c0df42eab235849,6af39eb260e24144dc3491e9083a3d615e977775,f4bb70b47614e639d2035ecf94e4f74413312f7ae593d60a916d940cf3639554,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v7.7.1/npp.7.7.1.bin.7z
7.7.1,github,x86,npp.7.7.1.bin.7z,localization/aragonese.xml,aragonese.xml,,49810,2017-08-20T17:42:25.412736+00:00,ff161db746ade330439882ba0640d2ea,1a9109c96486d1f4ee48336f66c0be93cf2725a3,1db8eeb9c6cae8705cacfc3043a7556678e9ed52162fb8ec536c5befc19343a9,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v7.7.1/npp.7.7.1.bin.7z
7.7.1,github,x86,npp.7.7.1.bin.7z,localization/aranese.xml,aranese.xml,,20821,2016-12-26T22:10:43.795718+00:00,333a18acb93ba083e86679c065b69d15,cb874355fb8e495a2b0b0dcf8868df287ec6a342,de5da809aa6e44c4e6a01c3b5fb7da5a66d9683cb905416f3fcff2ed413ea7c6,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v7.7.1/npp.7.7.1.bin.7z
7.7.1,github,x86,npp.7.7.1.bin.7z,autoCompletion/autoit.xml,autoit.xml,,738721,2018-12-09T18:22:22.898518+00:00,24091974377d7e76106add1210d5853a,7663d568323f753fb62c15f684eea1ff9014ce5b,07cb7ea3f8d1eee1142bcdf876e29f14e6ae2a72ef28f2310263da531c7e8711,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v7.7.1/npp.7.7.1.bin.7z
7.7.1,github,x86,npp.7.7.1.bin.7z,localization/azerbaijani.xml,azerbaijani.xml,,35482,2017-08-20T17:40:40.621097+00:00,8cd5c70b03ef9c48585c06fa149f9fcd,4fb0a331d184579444326c6910742ad4b0cbb5a1,d2e185e9c8b1e7d994dcb3b44748f1b499f18ca22a573f452a9b0d791344c448,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v7.7.1/npp.7.7.1.bin.7z
7.7.1,github,x86,npp.7.7.1.bin.7z,autoCompletion/BaanC.xml,BaanC.xml,,18490,2017-12-28T22:22:51.984891+00:00,2537a01a4619a19962fb1b85cbee9a13,adaf66583cc60a53f0a08b030e63cc2652badd17,9780d21f36eca4cb7f85c67fe9113c3c223822662812f6ab533c011cd2f56e7e,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v7.7.1/npp.7.7.1.bin.7z
